tour,team_home,team_away,time,champ,team_home_substitution,team_home_reserved,team_home_yellow_cards,team_home_squad,team_home_red_cards,team_away_substitution,team_away_reserved,team_away_yellow_cards,team_away_squad,team_away_red_cards,team_home_score,team_away_score,target
3,team140,team326,2015-08-22,champ8,,,,,,,,,,,1,6,2
19,team57,team179,2014-12-21,champ3,,,,,,,,,,,0,5,2
34,team169,team289,2011-05-01,champ13,"player123494, player192579, player169076",,"player67349, player123494","player120363, player124028, player195525, player35116, player16045, player188606, player32306, player118174, player67349, player153560, player73406",,"player23933, player77864, player78867",,"player126840, player23933","player194866, player27147, player194129, player67508, player148238, player4658, player100326, player204434, player212277, player126840, player17716",,0,0,0
26,team16,team130,2017-02-12,champ1,,,,,,,,,,,4,2,1
35,team42,team249,2012-04-21,champ13,"player159174, player136476, player181390","player139979, player118277, player139541, player81126","player30439, player110391","player32937, player143540, player50802, player30439, player69884, player7812, player110391, player3744, player188227, player113939, player172139",,"player46210, player74713, player68501","player2823, player109113, player7299, player73659","player137575, player129771, player46210","player79128, player137575, player161921, player11733, player188014, player57031, player190683, player129771, player89810, player152301, player21332",,1,2,2
29,team6,team75,2011-04-08,champ4,,,,,,,,,,,1,1,0
35,team198,team194,2015-05-01,champ3,,,,,,,,,,,0,2,2
37,team333,team67,2011-05-15,champ6,,,,,,,,,,,1,0,1
8,team55,team166,2011-10-23,champ6,"player143698, player192423, player33422",,"player198216, player145621, player143698, player192423","player8124, player119205, player198216, player144626, player142192, player145621, player78702, player119833, player56899, player87259, player5176",,"player164957, player196879, player165112",,"player57832, player31070, player101848","player108407, player57832, player101848, player31070, player144812, player87293, player207234, player96978, player111205, player164568, player83884",,0,2,2
19,team336,team89,2014-02-01,champ4,,,,,,,,,,,2,1,1
12,team148,team173,2014-10-19,champ9,,,,,,,,,,,2,2,0
22,team258,team233,2014-04-02,champ6,,,,,,,,,,,4,2,1
3,team27,team342,2010-08-29,champ2,,,,,,,,,,,1,0,1
